,I_XT,I_TY,Layer,Epochs
0,6.920686902313136,0.6931469493594913,1,0
1,6.887872746208888,0.6741372325514202,2,0
2,5.2450380329908795,0.1959278986990949,3,0
3,3.0136852919531942,0.05787329583065205,4,0
4,6.920686902313136,0.6931469493594913,1,1
5,6.904780017021449,0.6863714157265971,2,1
6,5.34315870162468,0.2295970105918241,3,1
7,3.066667139751597,0.060709445566396555,4,1
8,6.920686902313136,0.6931469493594913,1,2
9,6.9145196655116425,0.6917622554253113,2,2
10,5.403738195934942,0.2471948450504567,3,2
11,3.154162071827625,0.08201662060088585,4,2
12,6.920686902313136,0.6931469493594913,1,3
13,6.918193853108273,0.6931469493594913,2,3
14,5.500937994614037,0.25635954268936695,3,3
15,3.249050657840146,0.08817462160803712,4,3
16,6.920686902313136,0.6931469493594913,1,4
17,6.9181261225522075,0.6931469493594914,2,4
18,5.566210190767321,0.2683789330796816,3,4
19,3.3748664862547115,0.11134436863768468,4,4
20,6.920686902313136,0.6931469493594913,1,5
21,6.913591694440753,0.6904172774777813,2,5
22,5.641941592697655,0.29862524312800737,3,5
23,3.4813556002535213,0.12906471648245801,4,5
24,6.920686902313136,0.6931469493594913,1,6
25,6.918015974516748,0.6918031117045492,2,6
26,5.748030464113558,0.32215349013938155,3,6
27,3.6407848902361244,0.1507217715494271,4,6
28,6.920686902313136,0.6931469493594913,1,7
29,6.9109563797830456,0.6877890568441708,2,7
30,5.840689118621491,0.36932664770684076,3,7
31,3.830063738873241,0.17864730353008945,4,7
32,6.920686902313136,0.6931469493594913,1,8
33,6.916189775185588,0.6931469493594913,2,8
34,5.951951487171251,0.40078480275797657,3,8
35,4.072968827159777,0.21286563377825984,4,8
36,6.920686902313136,0.6931469493594913,1,9
37,6.917808009561798,0.6931469493594912,2,9
38,6.100096157138979,0.4366797978249467,3,9
39,4.34330395167111,0.24073264719508425,4,9
40,6.920686902313136,0.6931469493594913,1,10
41,6.918184422019558,0.6920827517402226,2,10
42,6.247937827636513,0.46441707532292903,3,10
43,4.619321050421415,0.2655156868693228,4,10
44,6.920686902313136,0.6931469493594913,1,11
45,6.920686902313136,0.6931469493594913,2,11
46,6.36211371280115,0.5288955741892225,3,11
47,4.932850229938209,0.3350151718361209,4,11
48,6.920686902313136,0.6931469493594913,1,12
49,6.914286948048816,0.6918824496177974,2,12
50,6.389219963215118,0.5830311087565094,3,12
51,5.0028786567047385,0.42729180206682316,4,12
52,6.920686902313136,0.6931469493594913,1,13
53,6.902135049267213,0.6899356891800419,2,13
54,6.312661690895775,0.6316114926313042,3,13
55,4.892798393696989,0.522431404810927,4,13
56,6.920686902313136,0.6931469493594913,1,14
57,6.904730111252614,0.6919222640768077,2,14
58,5.960166386359529,0.6349096133550267,3,14
59,4.37221830498282,0.5549107290548658,4,14
60,6.920686902313136,0.6931469493594913,1,15
61,6.891754067875238,0.6906784922045793,2,15
62,5.8188785968673855,0.6325239043713183,3,15
63,3.876202659041293,0.577547893427572,4,15
64,6.920686902313136,0.6931469493594913,1,16
65,6.876883880806281,0.6931469493594913,2,16
66,5.4992726868622315,0.6039973853661763,3,16
67,3.386353227507978,0.5743075673754284,4,16
68,6.919011227691643,0.6931469493594913,1,17
69,6.867803325767693,0.6883300022576385,2,17
70,5.243167821039651,0.5911314014194777,3,17
71,3.3068242013895004,0.5691662598824333,4,17
72,6.919011227691643,0.6931469493594913,1,18
73,6.848653200504354,0.6873717826938736,2,18
74,4.916374615598544,0.5739080905138403,3,18
75,3.1675184416384776,0.5644735517572514,4,18
76,6.920686902313136,0.6931469493594913,1,19
77,6.852373457143339,0.6915013790947627,2,19
78,4.623980555195112,0.5712987653249594,3,19
79,3.073216457102471,0.5640851362122601,4,19
80,6.920686902313136,0.6931469493594913,1,20
81,6.830872924993539,0.6918478151304375,2,20
82,4.377461428148607,0.571163570164284,3,20
83,2.91451846387009,0.5613309339608846,4,20
84,6.920686902313136,0.6931469493594913,1,21
85,6.823610091465047,0.690500496407855,2,21
86,4.259380026434474,0.5658346289945412,3,21
87,2.8083058208837453,0.5602869957898922,4,21
88,6.915656018643599,0.6931469493594912,1,22
89,6.825419995270809,0.6918312430020248,2,22
90,4.106939225724286,0.5589524528816737,3,22
91,2.685539636593457,0.5572758853389916,4,22
92,6.915455434261704,0.6931469493594912,1,23
93,6.80626124489138,0.6884026497330038,2,23
94,4.017712597802338,0.5513730577430469,3,23
95,2.5603746161083025,0.5553731862663132,4,23
96,6.913839147666079,0.6931469493594912,1,24
97,6.77526415190573,0.6878473698623839,2,24
98,3.925420972314534,0.5513665601166133,3,24
99,2.416875952720135,0.5547319540241062,4,24
100,6.9123392066496345,0.6931469493594911,1,25
101,6.774423860005719,0.6919589256579963,2,25
102,3.853125597285586,0.5510288342750803,3,25
103,2.386184848682867,0.550508800561285,4,25
104,6.913639228965952,0.6931469493594912,1,26
105,6.760175762845129,0.6865879445568531,2,26
106,3.855169629636375,0.5466002398484852,3,26
107,2.333004166649454,0.547428503539847,4,26
108,6.915027900443832,0.6931469493594912,1,27
109,6.758367130382345,0.6833688904041295,2,27
110,3.8421912951267077,0.5415865302211993,3,27
111,2.237335904008225,0.5454053367561582,4,27
112,6.916703575065324,0.6931469493594913,1,28
113,6.7390806459380315,0.6807136317239659,2,28
114,3.825142474329321,0.5375669059104615,3,28
115,2.2386524863574415,0.5445631166660598,4,28
116,6.91807348015566,0.6931469493594913,1,29
117,6.737670621538579,0.6777102750132432,2,29
118,3.7546728639687275,0.5415811091955128,3,29
119,2.1667373383600252,0.5402091149223069,4,29
120,6.91807348015566,0.6931469493594913,1,30
121,6.723519418825623,0.6723564003576699,2,30
122,3.7040982560214735,0.5393417654969428,3,30
123,2.153016363033636,0.5430026007638094,4,30
124,6.91807348015566,0.6931469493594913,1,31
125,6.731106198122235,0.6649320573850572,2,31
126,3.6696995318261183,0.5341646027379837,3,31
127,2.0733530299404146,0.5367271572160676,4,31
128,6.9152855631977985,0.6931469493594912,1,32
129,6.738043477761179,0.6625833859777314,2,32
130,3.6402324113960236,0.5309980153477448,3,32
131,2.001440279154887,0.5380612464878886,4,32
132,6.914135059362912,0.6931469493594913,1,33
133,6.715721403982,0.6564593323235663,2,33
134,3.595171011127691,0.5318733548454556,3,33
135,2.0341471668079425,0.5376733551033853,4,33
136,6.9127350010696995,0.6931469493594913,1,34
137,6.69986814165688,0.6518927314108007,2,34
138,3.5427492849869546,0.5345393876977099,3,34
139,1.9003040749838291,0.5332424936740575,4,34
140,6.911371587042565,0.6931469493594913,1,35
141,6.691299592943574,0.6521998391700217,2,35
142,3.5213003890255377,0.5291314300975017,3,35
143,1.8504526666635628,0.5352483521478091,4,35
144,6.911446715223699,0.6931469493594913,1,36
145,6.696942246986375,0.6500917258360007,2,36
146,3.5018820836426245,0.5240335704857808,3,36
147,1.89171908819586,0.5290426370037796,4,36
148,6.912988317525016,0.6931469493594913,1,37
149,6.6920400335569346,0.6424853776741434,2,37
150,3.465918416218422,0.5274539654742378,3,37
151,1.7621310799093475,0.5262652831612438,4,37
152,6.911538900452369,0.6931469493594913,1,38
153,6.681383204534172,0.6371674588433814,2,38
154,3.401331573531363,0.524187717964633,3,38
155,1.6793112691278038,0.52761919882079,4,38
156,6.915246024401823,0.6931469493594913,1,39
157,6.67996689481935,0.6363809473840076,2,39
158,3.3627685763788353,0.5272540020826658,3,39
159,1.7399349804540298,0.5246307445086869,4,39
160,6.9180954997676825,0.6931469493594913,1,40
161,6.6790948647518364,0.6380699467810935,2,40
162,3.3768539200033794,0.5226799614648067,3,40
163,1.687690510315483,0.5167347485289486,4,40
164,6.919383785613683,0.6931469493594913,1,41
165,6.663388194511645,0.6332487635664897,2,41
166,3.3632585779968593,0.5203600100061299,3,41
167,1.538456613457745,0.5178660189638074,4,41
168,6.919383785613683,0.6931469493594913,1,42
169,6.659531507174511,0.6322808556113838,2,42
170,3.340940783367454,0.5218979278072028,3,42
171,1.6364182199413138,0.5219468415295375,4,42
172,6.917970157547336,0.6931469493594913,1,43
173,6.649396817295501,0.6301891972195018,2,43
174,3.3240409933147435,0.52110868881261,3,43
175,1.651264342250843,0.5135106337659591,4,43
176,6.916294482925842,0.6931469493594912,1,44
177,6.658323080244656,0.629794775188943,2,44
178,3.29459421464625,0.5227284405957286,3,44
179,1.517120972327047,0.5085589637602164,4,44
180,6.917597599625296,0.6931469493594912,1,45
181,6.668829895569586,0.6284196544337827,2,45
182,3.2944080180199955,0.5183228653884735,3,45
183,1.422879454907862,0.5120681621788674,4,45
184,6.917597599625296,0.6931469493594912,1,46
185,6.673323004729888,0.6267794561442892,2,46
186,3.2619634167028937,0.5165173162895914,3,46
187,1.5150460022737207,0.5156432639841526,4,46
188,6.919011227691643,0.6931469493594913,1,47
189,6.659788382329985,0.6271136823940409,2,47
190,3.25552365818986,0.5180609517447023,3,47
191,1.5466334558290364,0.5063827895016147,4,47
192,6.919011227691643,0.6931469493594913,1,48
193,6.652667632059894,0.6250901733838929,2,48
194,3.2268834325046205,0.5191649874597933,3,48
195,1.4465664308322512,0.5018945394997221,4,48
196,6.919011227691643,0.6931469493594913,1,49
197,6.644058449332408,0.6227954756797511,2,49
198,3.215857776516929,0.519954355696167,3,49
199,1.3127738240842748,0.5045676673416122,4,49
200,6.919011227691643,0.6931469493594913,1,50
201,6.643138567827582,0.6218237561860852,2,50
202,3.2328887509063775,0.5207693467025978,3,50
203,1.3431505549411402,0.509412732015243,4,50
204,6.919011227691643,0.6931469493594913,1,51
205,6.634390225909011,0.6203000585380415,2,51
206,3.2280923152161574,0.5170065524190338,3,51
207,1.4359088523942707,0.5041305112854647,4,51
208,6.919011227691643,0.6931469493594913,1,52
209,6.636855111846876,0.6187022635114643,2,52
210,3.20751553845606,0.5157065169493615,3,52
211,1.4562565402480032,0.49948357040869024,4,52
212,6.919011227691643,0.6931469493594913,1,53
213,6.639383260446755,0.6210388764532955,2,53
214,3.175109124798955,0.5160902028207305,3,53
215,1.321218694185816,0.49767897994786364,4,53
216,6.917841906983203,0.6931469493594913,1,54
217,6.641610594503134,0.623596944130026,2,54
218,3.149435095425385,0.5227641015136022,3,54
219,1.1726487710415177,0.5004003355146451,4,54
220,6.917841906983203,0.6931469493594913,1,55
221,6.62318462447331,0.6213710703974528,2,55
222,3.1478142503012556,0.5197895859162742,3,55
223,1.1597875944949751,0.5011769497561157,4,55
224,6.917888452719062,0.6931469493594913,1,56
225,6.616312959973974,0.6180444131381436,2,56
226,3.1483607085181657,0.5186121941417471,3,56
227,1.2734827867548566,0.5013132901634787,4,56
228,6.917888452719062,0.6931469493594913,1,57
229,6.6192943170848215,0.6193148299282624,2,57
230,3.1680244743575074,0.5180859027342185,3,57
231,1.3846522383780906,0.4976320428221837,4,57
232,6.916460666616013,0.6931469493594913,1,58
233,6.609188662397189,0.6210197481328767,2,58
234,3.177774423029451,0.5179804163917339,3,58
235,1.3978705319391966,0.49714090761760066,4,58
236,6.917583441588594,0.6931469493594913,1,59
237,6.6043200615471624,0.619772675729746,2,59
238,3.158628608560556,0.5162130365449926,3,59
239,1.2899645453736586,0.5021107280574209,4,59
240,6.919259116210086,0.6931469493594913,1,60
241,6.601448380925072,0.619804805730684,2,60
242,3.1383425808336822,0.5194829409723739,3,60
243,1.1431678721350655,0.5016542201636941,4,60
244,6.919259116210086,0.6931469493594913,1,61
245,6.591141801697734,0.6174937610882812,2,61
246,3.1519599972041696,0.5258495551658758,3,61
247,1.1025120406433302,0.4995543530954397,4,61
248,6.919259116210086,0.6931469493594913,1,62
249,6.593283288185273,0.6167554951544643,2,62
250,3.1420406997342956,0.5231830117626706,3,62
251,1.0675244700197255,0.4989022990000037,4,62
252,6.919259116210086,0.6931469493594913,1,63
253,6.590887094420816,0.615350044567462,2,63
254,3.1430453873858935,0.5217262096648716,3,63
255,1.1929182069283617,0.49712827118937575,4,63
256,6.919259116210086,0.6931469493594913,1,64
257,6.598845718612427,0.6175009105852444,2,64
258,3.1507800894558895,0.521569765036226,3,64
259,1.3366969368072739,0.49713734425135364,4,64
260,6.920686902313136,0.6931469493594913,1,65
261,6.597183114834758,0.6153965441205922,2,65
262,3.1466825851772002,0.5225062197746956,3,65
263,1.3983603439109153,0.5013527795474758,4,65
264,6.920686902313136,0.6931469493594913,1,66
265,6.60393426011646,0.6173241775051489,2,66
266,3.1584550182676576,0.5210823201652095,3,66
267,1.4005088910151882,0.507783419751941,4,66
268,6.920686902313136,0.6931469493594913,1,67
269,6.594386633825348,0.61888218911134,2,67
270,3.1579817610051846,0.520888026037496,3,67
271,1.3337965240127323,0.5134502326815673,4,67
272,6.920686902313136,0.6931469493594913,1,68
273,6.593939724010371,0.6171952157418021,2,68
274,3.1730751963410206,0.5221797798153726,3,68
275,1.2768869673448031,0.5070653878038297,4,68
276,6.920686902313136,0.6931469493594913,1,69
277,6.590801724843747,0.6190676699894655,2,69
278,3.1702362186972204,0.5280151265981357,3,69
279,1.2387431941862237,0.5042268315627011,4,69
280,6.920686902313136,0.6931469493594913,1,70
281,6.592240556961241,0.6202797358352875,2,70
282,3.1549435816792366,0.5334909204690623,3,70
283,1.1707884812986182,0.5006556277677823,4,70
284,6.920686902313136,0.6931469493594913,1,71
285,6.592417068750913,0.6178678962127159,2,71
286,3.141125756665568,0.5306571572423777,3,71
287,1.151493581576896,0.499463245381458,4,71
288,6.920686902313136,0.6931469493594913,1,72
289,6.591051401375646,0.6178016550136903,2,72
290,3.135338244188488,0.5283395249660171,3,72
291,1.2687498410276876,0.49916630112530563,4,72
292,6.920686902313136,0.6931469493594913,1,73
293,6.592268944692708,0.6168196192415131,2,73
294,3.117094818613366,0.5278317295853111,3,73
295,1.3639652724389963,0.5023815235651998,4,73
296,6.920686902313136,0.6931469493594913,1,74
297,6.589176231497922,0.6182106092811691,2,74
298,3.117607149705137,0.5269863601017997,3,74
299,1.4315561262113194,0.5085890813136715,4,74
300,6.920686902313136,0.6931469493594913,1,75
301,6.591672360922416,0.6166674327285573,2,75
302,3.1334446685611317,0.5293394217696795,3,75
303,1.4733433358102173,0.5141797161741639,4,75
304,6.920686902313136,0.6931469493594913,1,76
305,6.584468143174859,0.6129057746897305,2,76
306,3.1266415122297073,0.529452619834598,3,76
307,1.4884998991248675,0.5270975061071962,4,76
308,6.920686902313136,0.6931469493594913,1,77
309,6.586951892205475,0.6151951604391703,2,77
310,3.1318729304020456,0.5289412116486393,3,77
311,1.4809401082897444,0.5285336179273794,4,77
312,6.920686902313136,0.6931469493594913,1,78
313,6.595525277553043,0.6149675013189072,2,78
314,3.129665453239026,0.5276315328211917,3,78
315,1.4504036293819877,0.5205700756277135,4,78
316,6.920686902313136,0.6931469493594913,1,79
317,6.587660043491379,0.6137218692979245,2,79
318,3.1387280627863423,0.5292075710062023,3,79
319,1.4232876346511305,0.5158761694628657,4,79
320,6.920686902313136,0.6931469493594913,1,80
321,6.582999135748757,0.6147220354695447,2,80
322,3.1454346292241464,0.5321541171392009,3,80
323,1.3950661890858513,0.5117887869791211,4,80
324,6.920686902313136,0.6931469493594913,1,81
325,6.589831891559067,0.6127405808925332,2,81
326,3.1485553231848535,0.5378793991901422,3,81
327,1.3704906451321632,0.5091047525399953,4,81
328,6.920686902313136,0.6931469493594913,1,82
329,6.590322673831456,0.6102825208441582,2,82
330,3.1498258715983054,0.540788442353664,3,82
331,1.352510731837973,0.5074416824331265,4,82
332,6.919468782083782,0.6931469493594913,1,83
333,6.594606860206396,0.615538321914768,2,83
334,3.1646198772441276,0.5429736936624248,3,83
335,1.329649800458645,0.5055173805908769,4,83
336,6.920686902313136,0.6931469493594913,1,84
337,6.580897713480321,0.6184395918835559,2,84
338,3.1834746781071113,0.5419067281094049,3,84
339,1.34222631664448,0.5050716658183354,4,84
340,6.920686902313136,0.6931469493594913,1,85
341,6.5704308298926515,0.6144727065474729,2,85
342,3.177364315076882,0.5390198403375192,3,85
343,1.4046520710741968,0.5043852346620536,4,85
344,6.920686902313136,0.6931469493594913,1,86
345,6.5637299213595295,0.6142388060760997,2,86
346,3.164596120330109,0.538388375448959,3,86
347,1.452202174655911,0.5084063952958882,4,86
348,6.920686902313136,0.6931469493594913,1,87
349,6.555294734257907,0.6144272643199353,2,87
350,3.173136285038908,0.5386267793897279,3,87
351,1.4987864327645322,0.5093331947802509,4,87
352,6.920686902313136,0.6931469493594913,1,88
353,6.545825323373511,0.6166238862395002,2,88
354,3.1767758185032973,0.5395268896442789,3,88
355,1.5514962992574062,0.5128593155021296,4,88
356,6.920686902313136,0.6931469493594913,1,89
357,6.5488182149989305,0.6210626398088768,2,89
358,3.1525780967215034,0.54023995913004,3,89
359,1.5892811695568787,0.521456337570975,4,89
360,6.920686902313136,0.6931469493594913,1,90
361,6.54612178835325,0.6223840186305428,2,90
362,3.150304550023964,0.5400106648304136,3,90
363,1.613641786613887,0.527133072778836,4,90
364,6.920686902313136,0.6931469493594913,1,91
365,6.556563448598228,0.6232615444444194,2,91
366,3.147060317047353,0.54268210695987,3,91
367,1.6411063006167186,0.5310236507889387,4,91
368,6.920686902313136,0.6931469493594913,1,92
369,6.550196148839903,0.6254173857777026,2,92
370,3.162215075543002,0.5425116743876228,3,92
371,1.6517226178495692,0.5314720093334154,4,92
372,6.920686902313136,0.6931469493594913,1,93
373,6.547604926899393,0.6262049251034453,2,93
374,3.1706568749996515,0.5439567670241192,3,93
375,1.6659693017963688,0.5428708834900009,4,93
376,6.920686902313136,0.6931469493594913,1,94
377,6.542319749277609,0.6216315653595677,2,94
378,3.1960169563841867,0.5454829490629016,3,94
379,1.6792756127257185,0.5507307450029928,4,94
380,6.920686902313136,0.6931469493594913,1,95
381,6.540278668059875,0.6174495539006294,2,95
382,3.2190468056824426,0.5432163892773479,3,95
383,1.682832061149432,0.5506193755870896,4,95
384,6.91807348015566,0.6931469493594913,1,96
385,6.528325168277894,0.6169696703160984,2,96
386,3.2223411876629764,0.541777702801997,3,96
387,1.6842796030308023,0.5480949955179379,4,96
388,6.91807348015566,0.6931469493594913,1,97
389,6.520186809024441,0.6127355573505213,2,97
390,3.2279443896485267,0.5440198485277239,3,97
391,1.6928347711406557,0.5458448258651367,4,97
392,6.91807348015566,0.6931469493594913,1,98
393,6.51986810743873,0.613058949362986,2,98
394,3.233854029213486,0.5439608108895766,3,98
395,1.6957298905139768,0.5423088186092191,4,98
396,6.919291600385013,0.6931469493594913,1,99
397,6.517576664239887,0.6128983293819007,2,99
398,3.2370041373208993,0.5464085756880133,3,99
399,1.7002804243933851,0.5412374746230384,4,99
400,6.919291600385013,0.6931469493594913,1,100
401,6.521036147545655,0.6105454101282589,2,100
402,3.2389264515687843,0.5453395967808994,3,100
403,1.6984120007310923,0.5387917054676912,4,100
404,6.919291600385013,0.6931469493594913,1,101
405,6.5250326971793875,0.6117078387814522,2,101
406,3.2343684207465073,0.5514213130676588,3,101
407,1.7022242321568017,0.5383083674656531,4,101
408,6.919291600385013,0.6931469493594913,1,102
409,6.524542030316884,0.6147916925712325,2,102
410,3.229983077289949,0.5565436755570933,3,102
411,1.718483055076942,0.5383083674656544,4,102
412,6.919291600385013,0.6931469493594913,1,103
413,6.517931225935496,0.6165855218402811,2,103
414,3.2251116199633487,0.5563232464088583,3,103
415,1.7249410071782614,0.5373302258034409,4,103
416,6.920686902313136,0.6931469493594913,1,104
417,6.5212705319180575,0.6187789589283199,2,104
418,3.229264793882801,0.5563232464088581,3,104
419,1.7343376905862178,0.5373302258034411,4,104
420,6.920686902313136,0.6931469493594913,1,105
421,6.514756875293796,0.6194156450121521,2,105
422,3.2203111091056935,0.5593998154031928,3,105
423,1.749381603312284,0.5376923936173734,4,105
424,6.920686902313136,0.6931469493594913,1,106
425,6.516769893406188,0.6205574075552593,2,106
426,3.2424894797818444,0.5590962309274203,3,106
427,1.7589752509299488,0.5378788239371849,4,106
428,6.920686902313136,0.6931469493594913,1,107
429,6.5100029002029185,0.6230219752015201,2,107
430,3.2619663495372535,0.5591949379975568,3,107
431,1.7648541650717775,0.5378788239371859,4,107
432,6.920686902313136,0.6931469493594913,1,108
433,6.507995399721465,0.6197972564548015,2,108
434,3.2815837226213214,0.5649900255140596,3,108
435,1.7752952288087684,0.5395963357593968,4,108
436,6.919011227691643,0.6931469493594913,1,109
437,6.495393838527817,0.6198779775912162,2,109
438,3.2742468078868034,0.5716601921949324,3,109
439,1.7884992122520802,0.5407253194677561,4,109
440,6.919011227691643,0.6931469493594913,1,110
441,6.504896796273616,0.6208507436057437,2,110
442,3.285441207623481,0.5715679764564572,3,110
443,1.8038494751261345,0.5437282134995022,4,110
444,6.919011227691643,0.6931469493594913,1,111
445,6.495901388505055,0.621664304635919,2,111
446,3.3005359974869695,0.5714836406472319,3,111
447,1.8103105303063927,0.5447470026101697,4,111
448,6.919011227691643,0.6931469493594913,1,112
449,6.495888230211235,0.6198646408182124,2,112
450,3.3121555238480966,0.5716396865231933,3,112
451,1.8187333752080999,0.5466155610494382,4,112
452,6.920686902313136,0.6931469493594913,1,113
453,6.496313502374593,0.6171442661858558,2,113
454,3.2980527287092674,0.5716396865231984,3,113
455,1.826554063502598,0.550474242082861,4,113
456,6.920686902313136,0.6931469493594913,1,114
457,6.495602381453173,0.6172301843877085,2,114
458,3.2909877794690843,0.5723717794059765,3,114
459,1.8318838591888083,0.5527628134249039,4,114
460,6.920686902313136,0.6931469493594913,1,115
461,6.491855127944467,0.6177344217135446,2,115
462,3.2954832111813523,0.572971582681243,3,115
463,1.8382468240454122,0.5566661451675575,4,115
464,6.920686902313136,0.6931469493594913,1,116
465,6.4982427052264775,0.6189667175503794,2,116
466,3.312046119659416,0.5737556017325999,3,116
467,1.8385341089347278,0.5622845754968949,4,116
468,6.920686902313136,0.6931469493594913,1,117
469,6.492483014992743,0.621415827264396,2,117
470,3.3093935753055956,0.5705132529075799,3,117
471,1.836826406215445,0.5657019629392611,4,117
472,6.920686902313136,0.6931469493594913,1,118
473,6.491948063436026,0.6214718878826089,2,118
474,3.302727263712243,0.5649556930863306,3,118
475,1.8436229268982343,0.5710041310122607,4,118
476,6.920686902313136,0.6931469493594913,1,119
477,6.492627267462546,0.6215440712490389,2,119
478,3.296075218302349,0.5660607377695065,3,119
479,1.8508352450488184,0.5701290627368276,4,119
480,6.920686902313136,0.6931469493594913,1,120
481,6.489274362143537,0.620470898659701,2,120
482,3.297599930290861,0.5653555299415531,3,120
483,1.854200394233961,0.5630718677418567,4,120
484,6.920686902313136,0.6931469493594913,1,121
485,6.501772402642408,0.6200007593902404,2,121
486,3.304696731501017,0.5657373884560095,3,121
487,1.8618293514311959,0.552118825040449,4,121
488,6.920686902313136,0.6931469493594913,1,122
489,6.50421329829518,0.6180694218100934,2,122
490,3.321565239377378,0.5639906574647404,3,122
491,1.8747406306709478,0.5489235636701465,4,122
492,6.920686902313136,0.6931469493594913,1,123
493,6.50976741802958,0.6184102890728401,2,123
494,3.3248133369255948,0.5663705537419348,3,123
495,1.885951046135174,0.5501610889058809,4,123
496,6.920686902313136,0.6931469493594913,1,124
497,6.502001607338163,0.6190096631305755,2,124
498,3.3626213983589754,0.5632435033420596,3,124
499,1.8903833057701855,0.5460191178244697,4,124
500,6.920686902313136,0.6931469493594913,1,125
501,6.488831984374396,0.619792224763263,2,125
502,3.3876540056438897,0.5632799930198318,3,125
503,1.913552192151599,0.542393651891432,4,125
504,6.920686902313136,0.6931469493594913,1,126
